timesteps	evaders	pursuers
295	[[20, 20]]	[[15, 23], [17, 19], [12, 22], [12, 20]]
296	[[21, 19]]	[[16, 22], [17, 19], [12, 22], [13, 19]]
297	[[21, 18]]	[[17, 21], [18, 18], [13, 23], [13, 19]]
298	[[22, 17]]	[[18, 20], [19, 17], [14, 22], [14, 18]]
299	[[22, 16]]	[[19, 19], [20, 16], [15, 21], [15, 17]]
300	[[22, 16]]	[[20, 18], [20, 16], [16, 20], [16, 16]]
301	[[23, 15]]	[[20, 18], [20, 15], [17, 19], [17, 15]]
302	[[22, 14]]	[[21, 17], [21, 14], [18, 18], [18, 14]]
303	[[22, 13]]	[[22, 16], [21, 14], [19, 17], [19, 13]]
304	[[21, 12]]	[[23, 15], [21, 15], [19, 16], [20, 12]]
305	[[21, 11]]	[[23, 14], [21, 14], [19, 15], [20, 12]]
306	[[20, 10]]	[[23, 13], [21, 14], [18, 14], [19, 11]]
307	[[19, 9]]	[[23, 12], [21, 13], [19, 13], [18, 10]]
308	[[18, 9]]	[[22, 11], [21, 13], [18, 12], [17, 9]]
309	[[18, 8]]	[[21, 10], [20, 12], [17, 11], [17, 9]]
310	[[18, 8]]	[[21, 9], [19, 11], [17, 11], [16, 8]]
311	[[17, 8]]	[[20, 8], [19, 10], [17, 10], [16, 8]]
312	[[16, 8]]	[[19, 7], [19, 9], [17, 10], [16, 7]]
313	[[15, 7]]	[[18, 7], [19, 9], [16, 10], [15, 6]]
314	[[14, 8]]	[[17, 6], [18, 8], [15, 9], [15, 6]]
315	[[13, 8]]	[[17, 6], [17, 8], [14, 10], [14, 6]]
316	[[12, 9]]	[[17, 6], [16, 8], [13, 10], [13, 6]]
317	[[11, 9]]	[[16, 6], [15, 9], [12, 11], [12, 7]]
318	[[10, 10]]	[[15, 7], [14, 9], [11, 11], [11, 6]]
319	[[9, 11]]	[[14, 7], [13, 10], [10, 12], [10, 7]]
320	[[9, 11]]	[[13, 8], [13, 10], [9, 13], [9, 8]]
321	[[9, 12]]	[[13, 8], [12, 10], [8, 13], [8, 9]]
322	[[8, 13]]	[[12, 8], [12, 11], [9, 14], [8, 10]]
323	[[8, 14]]	[[11, 9], [11, 12], [8, 15], [7, 11]]
324	[[7, 15]]	[[10, 10], [10, 13], [8, 16], [6, 12]]
325	[[8, 16]]	[[9, 11], [9, 13], [7, 17], [6, 13]]
326	[[8, 17]]	[[9, 11], [10, 14], [8, 18], [7, 14]]
327	[[9, 18]]	[[8, 12], [9, 15], [8, 19], [7, 15]]
328	[[9, 19]]	[[9, 13], [10, 16], [9, 20], [7, 16]]
329	[[10, 20]]	[[9, 14], [10, 17], [9, 21], [7, 17]]
330	[[10, 20]]	[[10, 15], [11, 18], [10, 22], [8, 18]]
331	[[11, 21]]	[[10, 16], [12, 19], [10, 22], [8, 19]]
332	[[12, 21]]	[[10, 17], [13, 20], [11, 23], [8, 20]]
333	[[13, 22]]	[[11, 18], [14, 21], [11, 23], [9, 21]]
334	[[14, 22]]	[[11, 19], [15, 22], [12, 24], [10, 22]]
335	[[15, 23]]	[[12, 20], [16, 23], [12, 23], [10, 22]]
336	[[16, 22]]	[[13, 21], [17, 24], [13, 24], [11, 23]]
337	[[17, 22]]	[[14, 20], [18, 23], [13, 24], [12, 22]]
338	[[18, 21]]	[[14, 20], [19, 24], [14, 23], [12, 22]]
339	[[19, 21]]	[[14, 20], [20, 23], [15, 22], [13, 23]]
340	[[19, 21]]	[[14, 20], [21, 22], [16, 21], [14, 22]]
341	[[20, 20]]	[[15, 19], [22, 21], [16, 21], [15, 23]]
342	[[21, 19]]	[[16, 18], [22, 20], [16, 21], [16, 23]]
343	[[21, 18]]	[[17, 17], [23, 19], [17, 20], [17, 23]]
344	[[22, 17]]	[[18, 16], [23, 19], [18, 19], [18, 22]]
345	[[22, 16]]	[[19, 17], [24, 18], [18, 19], [19, 21]]
346	[[23, 15]]	[[20, 16], [24, 17], [19, 18], [20, 20]]
347	[[22, 14]]	[[21, 15], [25, 16], [19, 18], [21, 19]]
348	[[22, 13]]	[[20, 14], [25, 16], [20, 17], [22, 18]]
349	[[21, 12]]	[[20, 13], [24, 15], [21, 16], [23, 17]]
350	[[21, 12]]	[[19, 12], [23, 14], [20, 15], [22, 16]]
351	[[21, 11]]	[[19, 12], [23, 13], [20, 14], [22, 15]]
352	[[20, 10]]	[[19, 11], [23, 13], [20, 13], [21, 15]]
353	[[19, 9]]	[[18, 10], [22, 12], [19, 12], [20, 14]]
354	[[18, 9]]	[[17, 9], [22, 11], [18, 11], [19, 13]]
